"college_id","college_name","dean_id","founding_year","main_building"
42,"Urban Planning Institute","1042",1985,"City Hall Annex"
43,"Biomedical Engineering College","1043",1993,"Genetic Research Center"
44,"Online Education University","1044",2000,"Virtual Campus Hub"
45,"Sustainable Agriculture School","1045",2008,"Greenhouse Hall"
46,"Aviation Management Academy","1046",2015,"Hangar One"
47,"Robotics and AI University","1047",2020,"Automation Lab"
48,"Classical Studies Seminary","1048",1808,"Ancient Texts Hall"
49,"Columbian University of Commerce","1049",1819,"Trade Exchange Building"
50,"Prairie State Veterinary School","1050",1832,"Animal Science Center"
51,"Rocky Mountain School of Mining","1051",1842,"Ore Processing Lab"
52,"Great Plains Literature College","1052",1853,"Poets Corner"
53,"South Atlantic Naval Academy","1053",1858,"Shipyard Hall"
54,"Cyber Security Institute","1054",1865,"Digital Fortress"
55,"Applied Mathematics University","1055",1878,"Calculus Complex"
56,"Northern Lights Geological Survey","1056",1892,"Tundra Research Center"
57,"Global Languages Academy","1057",1900,"Linguistics Center"
58,"Automotive Design College","1058",1908,"Engine Block Building"
59,"Veterans Educational Center","1059",1918,"Memorial Dormitory"
60,"Mid-Atlantic Public Policy School","1060",1929,"Legislation Hall"
61,"Textile Engineering University","1061",1941,"Weaving Mill"
62,"Logistics and Supply Chain College","1062",1953,"Warehouse Center"
63,"Petroleum Geology Institute","1063",1965,"Oil Rig Annex"
64,"Film History Studies Center","1064",1972,"Cinema Library"
65,"Disaster Management College","1065",1979,"Emergency Operations Center"
66,"Renewable Resources Institute","1066",1987,"Wind Turbine Lab"
67,"E-Commerce University","1067",1995,"Marketplace Hub"
68,"Data Science Academy","1068",2002,"Algorithm Hall"
69,"Astrophysics Research College","1069",2009,"Deep Space Telescope"
70,"Game Development University","1070",2016,"Pixel Building"
71,"Quantum Computing Institute","1071",2021,"Qubit Lab"
72,"Ancient Civilizations College","1072",1810,"Archaeology Center"
73,"American Philosophy School","1073",1820,"Thought Hall"
74,"Trans-Continental Transport University","1074",1833,"Locomotive Hall"
75,"State Medical Research College","1075",1844,"Anatomy Wing"
76,"Western Territories Law School","1076",1854,"Writ Building"
77,"New England Fine Woodworking","1077",1861,"Carpentry Workshop"
78,"Chemical Engineering University","1078",1874,"Polymer Lab"
79,"Aeronautical Science College","1079",1889,"Wind Tunnel Complex"
80,"Insurance and Risk Management School","1080",1896,"Actuarial Hall"
81,"Hospitality Management College","1081",1902,"Hotel Simulation Center"
82,"Artisan Craftsmanship Institute","1082",1911,"Glassblowing Studio"
83,"Psychological Studies University","1083",1923,"Mind & Behavior Lab"
84,"Water Resource Management College","1084",1936,"Hydrology Center"
85,"Radio and Broadcast Media School","1085",1949,"Antenna Tower"
86,"Public Health and Safety Institute","1086",1958,"Epidemiology Unit"
87,"Veterinary Technology College","1087",1969,"Small Animal Clinic"
88,"Environmental Law University","1088",1976,"Green Justice Hall"
89,"Multimedia Journalism School","1089",1983,"Newsroom Center"
90,"Nanotechnology Research Institute","1090",1991,"Clean Room Lab"
91,"Global Business Ethics College","1091",2006,"Integrity Tower"
92,"Horticulture Science University","1092",2012,"Botanical Garden Center"
93,"Blockchain Technology School","1093",2019,"Ledger Hall"
94,"Early Childhood Education College","1094",1814,"Kindergarten Annex"
95,"Historical Geography Institute","1095",1826,"Cartography Center"
96,"Civil Infrastructure University","1096",1839,"Bridge Design Lab"
97,"Pharmaceutical Science College","1097",1846,"Drug Synthesis Unit"
98,"Military History Academy","1098",1856,"Armory Building"
99,"Applied Linguistics College","1099",1863,"Language Resource Center"
100,"Construction Management School","1100",1876,"Hard Hat Hall"
